ID	Change	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	CI_lower	CI_upper
mikado.Chr05G436	stable	62.4428537792065	-0.588631407442182	0.384480725057785	-1.53097767736917	0.12577490971686	0.515057024531073	-1.34221362855544	0.164950813671077
mikado.Chr05G437	stable	1146.18813198996	-0.0393511701514137	0.209960959541293	-0.187421367464624	0.851330270618937	0.966477200468743	-0.450874650852348	0.372172310549521
mikado.Chr05G440	stable	62.8575290957921	-0.650171564020428	0.403621784928305	-1.61084358748356	0.107213818135896	0.48530795192459	-1.44127026247991	0.14092713443905
mikado.Chr05G458	stable	986.793496420678	0.0107134363133095	0.125191727754965	0.0855762317960715	0.931803293411301	0.984065345010344	-0.234662350086422	0.256089222713041
mikado.Chr05G459	stable	764.020785709128	-0.0370180005170948	0.166004850314837	-0.222993487520926	0.823540575105448	0.958877475624346	-0.362387507134175	0.288351506099986
mikado.Chr05G461	stable	307.241778142587	0.170170936340007	0.31382526321088	0.542247410545969	0.587648078606571	0.877821907733683	-0.444926579553318	0.785268452233332
mikado.Chr05G460	stable	139.686766243252	-0.17883277210238	0.235475573100889	-0.759453601693793	0.447581259434709	0.803742724307116	-0.640364895380122	0.282699351175362
mikado.Chr05G448	stable	184.483194093341	-0.294884770592992	0.28292371969574	-1.04227659282196	0.29728346132421	0.700587665966453	-0.849415261196642	0.259645720010658
mikado.Chr05G449	stable	1680.64740215986	-0.0141295385453283	0.112581653301795	-0.125504805898094	0.900123920567232	0.976652050797917	-0.234789579016846	0.20653050192619
mikado.Chr05G450	stable	179.813089875355	-0.281843435600783	0.252111459598136	-1.11793187049109	0.263596092114876	0.673234658340187	-0.77598189641313	0.212295025211564
mikado.Chr05G451	stable	357.278750147314	0.301698773599438	0.154352626648417	1.95460731799949	0.0506294369050376	0.354797621563764	-0.000832374631459354	0.604229921830335
mikado.Chr05G452	stable	2489.4489492473	0.0451035095315706	0.0858029210996893	0.525664032803354	0.59912165804637	0.88301436566898	-0.12307021582382	0.213277234886962
mikado.Chr05G453	stable	186.518180248946	0.287511873998713	0.426731872635589	0.673752987380524	0.500468368248029	0.83770596023135	-0.548882596367041	1.12390634436447
