ID,baseMean,log2FoldChange,lfcSE,CI_lower,CI_upper,stat,pvalue,padj,Change
mikado.Chr02G95,84.0948846065537,-0.590559513473989,0.391638234777401,-1.3581704536377,0.177051426689717,-1.50792098685066,0.131574750621925,0.648118750401558,not significant
mikado.Chr02G97,44.3827145071949,-0.140592388908568,0.383367533610415,-0.891992754784983,0.610807976967846,-0.366730034712436,0.713820400700798,0.964289911057948,not significant
mikado.Chr02G125,3569.24591452067,-0.0864203968305874,0.167069203516866,-0.413876035723645,0.241035242062471,-0.517273052192787,0.604965562727248,0.945260993129038,not significant
mikado.Chr02G128,3594.68384091425,0.38035204727515,0.208219693511349,-0.0277585520070945,0.788462646557394,1.82668623155196,0.0677469595861668,0.502183133187686,not significant
mikado.Chr02G129,87.4172931463966,0.0179222332083752,0.440727055317066,-0.845902795213074,0.881747261629825,0.0406651531648804,0.967562842349615,0.995949386432152,not significant
mikado.Chr02G130,164.281325321509,0.0117057619264389,0.324502767144765,-0.624319661677301,0.647731185530179,0.0360729186670288,0.971224216042119,0.996021927865522,not significant
mikado.Chr02G131,2789.36938947796,-0.558077973920753,0.16596967698325,-0.883378540807922,-0.232777407033583,-3.36252973473628,0.000772318079410175,0.0377814459346245,down
mikado.Chr02G132,1263.22994978099,0.000121449896305475,0.136895353232333,-0.268193442439066,0.268436342231677,0.000887173256343888,0.999292138248863,0.999650725182836,not significant
mikado.Chr02G133,20199.1846464153,-0.23371514349943,0.239166795688821,-0.702482063049519,0.235051776050659,-0.97720564774182,0.328467352540985,0.844632632566622,not significant
mikado.Chr02G135,68.5644211207612,0.507509467369585,0.477486145122,-0.428363377069535,1.4433823118087,1.06287789196462,0.287837330047883,0.818368717372138,not significant
mikado.Chr02G139,56.3760212808576,0.106630812478907,0.531823773718513,-0.935743784009379,1.14900540896719,0.200500274241867,0.841089343536516,0.982378203188841,not significant
mikado.Chr02G134,578.83735640268,-0.050574682081791,0.143746661200112,-0.33231813803401,0.231168773870428,-0.351832047155414,0.724964223112407,0.964529805104472,not significant
mikado.Chr02G136,1880.25052020764,0.0925162206335106,0.17141571167458,-0.243458574248667,0.428491015515688,0.539718440799321,0.589391220552558,0.943513876931695,not significant
mikado.Chr02G137,1720.09854717516,0.030858795576118,0.125384474064042,-0.214894773589404,0.27661236474164,0.246113370945404,0.805594472850068,0.97756144821668,not significant
mikado.Chr02G138,976.808575012409,0.712323528670179,0.451174196440211,-0.171977896352633,1.59662495369299,1.5788215157038,0.114377002049771,0.612616782190238,not significant
mikado.Chr02G157,1515.79786808139,0.20176551667303,0.150932468312401,-0.0940621212192754,0.497593154565335,1.3367933283607,0.18129010754478,0.721884436556761,not significant
mikado.Chr02G158,1746.64348398442,-0.0540991242602739,0.168701745328159,-0.384754545103465,0.276556296582917,-0.320679102371112,0.748453585467222,0.968252505086687,not significant
mikado.Chr02G160,105.486834862947,0.257102228196833,0.435579068767649,-0.59663274658776,1.11083720298143,0.590253863493102,0.555020465466601,0.934052703051324,not significant
mikado.Chr02G162,35.6705679595184,-0.490659542497234,0.470521123553945,-1.41288094466297,0.431561859668498,-1.04280024410207,0.297040818273045,0.826010514853548,not significant
mikado.Chr02G148,4611.13943915793,0.137071603045504,0.110565976544302,-0.0796377109813274,0.353780917072335,1.23972678874303,0.215076465161454,0.766832380209072,not significant
mikado.Chr02G147,2665.39277472289,0.0735529322068476,0.11563615411692,-0.153093929862316,0.300199794276011,0.636072107106554,0.52472942472237,0.925361399808381,not significant
mikado.Chr02G140,4941.63762831688,0.286423426310272,0.337673289662283,-0.375416221427803,0.948263074048348,0.848226481273459,0.396311852114208,0.880354420931566,not significant
mikado.Chr02G141,1761.82503253131,0.0315592437274721,0.22092776729252,-0.401459180165866,0.464577667620811,0.142848697174792,0.886409676638241,0.991597190645947,not significant
mikado.Chr02G146,3437.96548516889,0.082808502793307,0.194194568081631,-0.29781285064669,0.463429856233304,0.426420283591546,0.669801623865283,0.955354042942155,not significant
mikado.Chr02G149,1313.71403249733,0.0542561435640316,0.142494901719452,-0.225033863806095,0.333546150934158,0.380758489667599,0.703382463573049,0.964014739926403,not significant
mikado.Chr02G151,794.538877307425,-0.111837175684732,0.223144429821143,-0.549200258134171,0.325525906764708,-0.501187395869001,0.616239243960034,0.946316268419983,not significant
mikado.Chr02G150,301.677524096274,0.0950295345751013,0.172204003803688,-0.242490312880127,0.43254938203033,0.551842770644489,0.581056080851179,0.940127155770675,not significant
mikado.Chr02G152,2285.61863273923,0.028118440071041,0.141756014314328,-0.249723347985042,0.305960228127124,0.198358004117494,0.842764972416452,0.982535730650896,not significant
mikado.Chr02G154,909.217758764616,-0.00945533128554431,0.174314419445831,-0.351111593399373,0.332200930828285,-0.0542429669077525,0.95674158841179,0.995949386432152,not significant
mikado.Chr02G153,2145.2832494671,0.11295817385668,0.126599479128744,-0.135176805235657,0.361093152949018,0.892248330198967,0.372259842447981,0.871398661517932,not significant
mikado.Chr02G156,17875.1702939992,-0.272373649602989,0.252255804645952,-0.766795026709054,0.222047727503076,-1.07975176224497,0.280252737005065,0.81255805261141,not significant
mikado.Chr02G155,564.352457523809,0.248113450042292,0.258538023246743,-0.258621075521325,0.754847975605909,0.959678761856618,0.337216915384756,0.852731879575393,not significant
mikado.Chr02G171,1035.06623632893,0.23163986227405,0.130966701420614,-0.0250548725103522,0.488334597058453,1.76869280329596,0.0769451539357348,0.52701367084718,not significant
mikado.Chr02G163,5.96606256309456,0.0862325395496282,1.2191749217854,-2.30335030714976,2.47581538624902,0.0707302438794806,0.943612449974575,NA,not significant
mikado.Chr02G164,90.2431765550599,0.492330271263711,0.34320468288182,-0.180350907184656,1.16501144971208,1.43450918888901,0.151427008755827,0.684182566708357,not significant
mikado.Chr02G165,53.6387922478162,0.412668005287047,0.378785198931623,-0.329750984618934,1.15508699519303,1.0894512416298,0.275954945264534,0.811251837381425,not significant
mikado.Chr02G166,1461.97132508173,0.058137849475221,0.150847634119592,-0.237523513399179,0.353799212349621,0.385407764692745,0.699935330691924,0.963803456309958,not significant
mikado.Chr02G168,1546.39214393047,0.0931297032478975,0.232717714227834,-0.362997016638657,0.549256423134452,0.40018312983567,0.689021639219635,0.960017583336759,not significant
mikado.Chr02G169,4701.29876662373,0.39809263105354,0.168193094005659,0.0684341668024488,0.727751095304631,2.36687857731035,0.0179388170991344,0.279118472437813,not significant
mikado.Chr02G173,94.7130731425634,-0.318999015527882,0.475577840260913,-1.25113158243927,0.613133551383507,-0.670760890273761,0.502372865877171,0.919171195384523,not significant
mikado.Chr02G172,1980.91921800331,0.10061034076062,0.178331819399045,-0.248920025261508,0.450140706782748,0.564174924585323,0.572635091346794,0.935770085703903,not significant
mikado.Chr02G174,521.236020828011,-0.206651480989301,0.16038354225269,-0.521003223804573,0.107700261825971,-1.28848308303176,0.197577853932064,0.7440697903399,not significant
mikado.Chr02G176,4317.59510552268,0.141223266021897,0.258939243192222,-0.366297650634859,0.648744182678653,0.54539151455332,0.58548427520222,0.943050000401553,not significant
mikado.Chr02G182,13.294535232866,-0.953798612039263,0.914015715875446,-2.74526941515514,0.837672191076612,-1.04352539619706,0.296705024992667,NA,not significant
mikado.Chr02G181,4936.35817953434,0.016880288909076,0.130963074691066,-0.239807337485414,0.273567915303566,0.128893498788842,0.897441920973076,0.991887956956557,not significant
mikado.Chr02G180,1346.76313136195,-0.035006140507822,0.121448520547361,-0.27304524078065,0.203032959765006,-0.288238509205806,0.773164172950162,0.974012290741031,not significant
mikado.Chr02G184,219.41041122627,-0.0813857420769255,0.232211083310547,-0.536519465365597,0.373747981211747,-0.350481729453389,0.725977199484436,0.964529805104472,not significant
mikado.Chr02G188,410.014282831788,0.296282272198935,0.325911832316957,-0.3425049191423,0.93506946354017,0.909087191135773,0.363304103272779,0.866957444433215,not significant
mikado.Chr02G186,331.894090425782,0.5864556867423,0.423317478650762,-0.243246571413193,1.41615794489779,1.38538027915008,0.165936217907169,0.704411866464374,not significant
mikado.Chr02G192,29.8069339933414,-0.175706818803412,0.500960427255566,-1.15758925622432,0.806175618617497,-0.350739917254532,0.725783475981135,0.964529805104472,not significant
mikado.Chr02G194,106.783823687991,0.120908534974206,0.337816272009641,-0.541211358164691,0.783028428113103,0.357912110790078,0.720409087206237,0.964298561983493,not significant
mikado.Chr02G195,344.299896445383,0.159789547679102,0.221416230079849,-0.274186263277402,0.593765358635606,0.721670437715779,0.470497121567709,0.911456369311971,not significant
mikado.Chr02G193,2484.51354925478,0.146116660415141,0.15498667839721,-0.15765722924339,0.449890550073672,0.942769158783211,0.345798990093378,0.856128679338978,not significant
mikado.Chr02G198,21.1422949295266,-0.790748872354243,0.61925722443446,-2.00449303224578,0.422995287537298,-1.27693120266203,0.201626536979167,NA,not significant
mikado.Chr02G199,27.1448374157179,-0.175669098567336,0.568440774831199,-1.28981301723649,0.938474820101815,-0.309036765737823,0.75729355972044,0.96922464516845,not significant
mikado.Chr02G201,120.052175718452,0.132895351814774,0.32217478266185,-0.498567222202453,0.764357925832,0.412494580478257,0.679976952179831,0.957126445765292,not significant
mikado.Chr02G202,1314.349393398,0.27026595510597,0.131488345768272,0.0125487974001561,0.527983112811783,2.05543657521003,0.0398368558271576,0.403470280952438,not significant
mikado.Chr02G204,3577.08962609899,0.143795172914859,0.134820948818149,-0.120453886768714,0.408044232598432,1.0665640182433,0.28616875585581,0.8167565386609,not significant
mikado.Chr02G205,2287.55435879487,0.185483113726206,0.110622282335711,-0.0313365596517886,0.4023027871042,1.67672470509432,0.0935963272956345,0.565176764336449,not significant
mikado.Chr02G206,3535.95556667301,-0.235821414497799,0.327566876449203,-0.877852492338236,0.406209663342638,-0.719918378360118,0.471575251684586,0.911875100486502,not significant
mikado.Chr02G207,276.195886263443,0.12078943177341,0.449051466504907,-0.759351442576208,1.00093030612303,0.268987946333965,0.787938958371548,0.976824685782581,not significant
mikado.Chr02G208,529.143119491165,0.0903269802934538,0.186360411454446,-0.274939426157259,0.455593386744167,0.484689744932944,0.627896442022337,0.95002214735881,not significant
mikado.Chr02G209,7219.43268688256,0.0419619121222791,0.134505339013801,-0.22166855234477,0.305592376589329,0.311972092929141,0.755061732237671,0.96922464516845,not significant
mikado.Chr02G210,158.67028493421,0.518428781757232,0.296822289645784,-0.0633429059485038,1.10020046946297,1.74659653214017,0.0807073491819628,0.536333522483949,not significant
mikado.Chr02G215,30.3487676153939,-0.601656100454352,0.460524971717969,-1.50428504502157,0.300972844112867,-1.30645705966801,0.191397172539699,0.735701437776694,not significant
mikado.Chr02G214,51.663084571021,-1.03335771702499,0.470719068199889,-1.95596709069677,-0.110748343353207,-2.19527481853822,0.028143890117683,0.355819182202135,not significant
mikado.Chr02G221,279.994213670098,-0.326037882518624,0.244024864788095,-0.804326617503291,0.152250852466043,-1.33608467646011,0.181521597965576,0.721884436556761,not significant
mikado.Chr02G218,147.612162890205,-0.0938229963368707,0.304845550552917,-0.691320275420587,0.503674282746846,-0.307772234715902,0.758255650217423,0.96922464516845,not significant
mikado.Chr02G219,2469.97877328139,-0.345823956064698,0.112407730966509,-0.566143108759056,-0.125504803370339,-3.07651398254567,0.00209436479684513,0.0763211171556209,not significant
mikado.Chr02G220,444.60229798271,0.0082247780217899,0.236557665473697,-0.455428246306655,0.471877802350235,0.0347685965082557,0.972264261840189,0.996132826193586,not significant
mikado.Chr02G223,2849.84488251414,0.0732047484865038,0.162274223470413,-0.244852729515506,0.391262226488513,0.451117539932958,0.651904836771852,0.952107125625378,not significant
mikado.Chr02G222,1584.88988123171,-0.107860611537769,0.171885588606741,-0.444756365206981,0.229035142131444,-0.627513990044531,0.530322368604609,0.926137049727166,not significant
mikado.Chr02G224,1276.14363082578,0.067485969800332,0.173828028977666,-0.273216966995893,0.408188906596557,0.388234108142611,0.697842794216108,0.963313319918769,not significant
mikado.Chr02G225,79.4485904632188,0.211778633029888,0.664972283888336,-1.09156704339125,1.51512430945103,0.318477383435503,0.750122847661516,0.968800078095154,not significant
mikado.Chr02G231,403.073613035535,-0.138688316723754,0.19673547457241,-0.524289846885676,0.246913213438169,-0.704948190076969,0.480842479006421,0.915664901286756,not significant
mikado.Chr02G226,1462.93301353593,-0.11177432514079,0.118155012700392,-0.343358150033559,0.119809499751979,-0.94599731815203,0.344149954101542,0.856128679338978,not significant
mikado.Chr02G227,11.0956443699438,-0.243340236127548,1.04587320571947,-2.29325171933771,1.80657124708261,-0.232667052561262,0.816019955368688,NA,not significant
mikado.Chr02G229,46.8694476248848,0.258855644467194,0.502924011519696,-0.726875418111409,1.2445867070458,0.514701303851063,0.606761762179723,0.945260993129038,not significant
mikado.Chr02G228,6373.97610200284,0.056845680326582,0.139844811728805,-0.217250150661876,0.33094151131504,0.406491164197212,0.684381747877106,0.959329688404942,not significant
mikado.Chr02G230,1308.02526057808,0.254573741377925,0.284700149604706,-0.303438551847299,0.812586034603148,0.894181972617118,0.371224536018457,0.871398661517932,not significant
mikado.Chr02G232,149.374611319328,-0.409247670786335,0.287135557243761,-0.972033362984106,0.153538021411437,-1.42527687867967,0.154077180968727,0.687796094868804,not significant
mikado.Chr02G233,86.3328931172694,-0.199882985760575,0.311574406823556,-0.810568823134743,0.410802851613594,-0.641525688192253,0.521181196555995,0.925361399808381,not significant
mikado.Chr02G234,202.185863797289,-0.371318350995329,0.206094383121376,-0.775263341913227,0.0326266399225689,-1.80169078541382,0.0715940686473253,0.512416854612532,not significant
mikado.Chr02G238,252.205991639221,0.696111080136653,0.234522153218286,0.236447659828813,1.15577450044449,2.96821033997899,0.00299539275270545,0.0948909789358481,not significant
mikado.Chr02G235,2785.10969124948,-1.03105271456683,0.374219013051063,-1.76452198014691,-0.297583448986741,-2.75521199780978,0.00586541172627934,0.148837676534343,not significant
mikado.Chr02G237,1589.85114470113,0.038521208089662,0.13382438259532,-0.223774581797165,0.300816997976489,0.287848950561937,0.773462365214943,0.974012290741031,not significant
